x,y,z
-1.575,-0.088,2.242
-1.578,-0.283,2.242
-1.574,-0.524,2.245
-1.582,-0.674,2.242
-1.572,-0.732,2.171
-1.571,-0.727,2.083
-1.581,1.13,2.258
-1.582,1.097,2.259
-1.578,1.175,2.253
-1.577,0.813,2.253
-1.576,-0.227,2.255
-1.577,0.894,2.253
-1.578,1.202,2.253
-1.577,0.919,2.252
-1.577,0.578,2.253
-1.576,0.679,2.253
-1.577,-0.263,2.257
-1.575,-0.178,2.254
-1.576,0.543,2.253
-1.576,0.623,2.252
-1.569,-0.715,1.989
-1.575,0.775,2.251
-1.571,0.979,2.244
-1.575,1.213,2.249
-1.573,1.065,2.247
-1.573,0.774,2.247
-1.571,0.725,2.245
-1.574,0.63,2.249
-1.572,0.512,2.248
-1.572,0.942,2.246
-1.573,0.654,2.249
-1.572,0.841,2.246
-1.572,1.025,2.246
-1.572,0.576,2.247
-1.568,0.476,2.242
-1.572,-0.217,2.25
-1.57,0.865,2.244
-1.571,-0.155,2.248
-1.568,-0.324,2.244
-1.569,-0.375,2.246
-1.567,-0.785,2.066
-1.565,-0.478,2.241
-1.52,1.127,2.256
-1.547,-0.703,1.882
-1.546,1.153,2.253
-1.544,0.931,2.252
-1.518,1.068,2.253
-1.539,1.174,2.244
-1.543,0.757,2.251
-1.515,0.665,2.25
-1.541,1.09,2.247
-1.527,-0.735,2.069
-1.538,0.822,2.244
-1.524,0.927,2.246
-1.54,1.024,2.246
-1.53,0.679,2.247
-1.539,0.572,2.246
-1.541,-0.176,2.251
-1.539,0.972,2.245
-1.539,0.78,2.246
-1.539,0.625,2.246
-1.539,0.473,2.246
-1.539,-0.736,2.03
-1.54,-0.126,2.249
-1.537,-0.087,2.245
-1.54,-0.176,2.249
-1.537,-0.277,2.246
-1.538,0.525,2.244
-1.53,-0.731,2.134
-1.537,0.87,2.242
-1.529,0.719,2.243
-1.538,1.107,2.242
-1.534,-0.578,2.242
-1.536,-0.327,2.245
-1.536,-0.226,2.245
-1.534,-0.625,2.243
-1.534,-0.377,2.242
-1.534,-0.474,2.242
-1.532,-0.428,2.239
-1.528,-0.719,2.226
-1.531,-0.525,2.238
-1.532,-0.671,2.24
-1.531,-0.714,1.945
-1.526,-0.75,2.054
-1.519,-0.733,2.181
-1.518,-0.7,1.85
-1.513,-0.755,2.038
-1.504,1.024,2.253
-1.504,0.836,2.253
-1.504,0.627,2.254
-1.504,0.592,2.254
-1.502,0.516,2.252
-1.502,0.732,2.251
-1.502,0.481,2.251
-1.501,0.085,2.252
-1.501,0.101,2.252
-1.501,-0.264,2.253
-1.479,-0.233,2.252
-1.487,0.772,2.245
-1.487,0.869,2.245
-1.482,0.576,2.246
-1.489,-0.568,2.252
-1.481,-0.124,2.248
-1.484,0.693,2.248
-1.478,-0.627,2.253
-1.485,-0.218,2.249
-1.477,0.825,2.246
-1.498,0.458,2.247
-1.479,-0.729,2.196
-1.473,-0.578,2.245
-1.496,-0.324,2.247
-1.482,0.928,2.245
-1.49,0.972,2.243
-1.474,1.124,2.244
-1.477,0.44,2.247
-1.479,-0.474,2.246
-1.496,-0.277,2.247
-1.496,-0.63,2.248
-1.48,-0.174,2.246
-1.485,-0.369,2.244
-1.484,-0.522,2.246
-1.495,0.542,2.242
-1.495,-0.757,2.015
-1.493,-0.424,2.243
-1.478,-0.675,2.244
-1.478,-0.729,2.125
-1.479,-0.088,2.24
-1.472,-0.714,2.237
-1.478,-0.736,2.034
-1.476,-0.699,1.881
-1.472,0.622,2.254
-1.473,0.716,2.255
-1.471,0.915,2.253
-1.471,0.668,2.253
-1.471,0.473,2.254
-1.471,0.984,2.253
-1.471,0.524,2.253
-1.472,0.788,2.254
-1.471,0.811,2.253
-1.471,1.073,2.252
-1.471,0.884,2.252
-1.47,0.564,2.252
-1.469,-0.424,2.254
-1.47,-0.537,2.255
-1.469,-0.273,2.253
-1.469,-0.384,2.253
-1.468,-0.323,2.253
-1.468,1.071,2.248
-1.467,1.019,2.247
-1.467,0.737,2.247
-1.466,-0.73,2.068
-1.458,-0.706,1.86
-1.437,-0.725,2.186
-1.446,-0.684,1.803
-1.441,-0.726,2.116
-1.433,1.026,2.255
-1.434,-0.735,1.978
-1.424,0.627,2.254
-1.409,0.98,2.254
-1.419,0.871,2.253
-1.426,0.579,2.254
-1.421,0.772,2.254
-1.431,0.727,2.254
-1.43,0.668,2.252
-1.43,0.913,2.252
-1.43,0.508,2.253
-1.43,-0.722,2.062
-1.429,0.434,2.252
-1.429,-0.331,2.255
-1.409,0.833,2.254
-1.426,0.965,2.245
-1.428,0.451,2.251
-1.428,-0.243,2.252
-1.428,-0.123,2.252
-1.427,0.478,2.248
-1.427,0.935,2.246
-1.427,-0.166,2.251
-1.427,0.819,2.247
-1.427,-0.096,2.251
-1.427,-0.52,2.252
-1.427,0.417,2.249
-1.423,1.076,2.24
-1.427,0.609,2.248
-1.427,0.689,2.248
-1.427,-0.259,2.251
-1.426,0.529,2.247
-1.427,-0.605,2.252
-1.426,-0.193,2.25
-1.426,0.701,2.247
-1.423,-0.633,2.247
-1.424,-0.321,2.246
-1.425,-0.695,1.779
-1.421,-0.373,2.243
-1.424,-0.528,2.247
-1.424,-0.215,2.247
-1.424,-0.28,2.246
-1.422,-0.423,2.245
-1.422,-0.473,2.245
-1.421,-0.575,2.244
-1.42,-0.677,2.242
-1.419,-0.707,1.815
-1.42,-0.718,2.007
-1.417,-0.701,1.77
-1.412,-0.708,2.231
-1.384,0.812,2.251
-1.387,0.898,2.255
-1.376,0.769,2.251
-1.399,-0.585,2.254
-1.38,0.724,2.253
-1.378,0.614,2.254
-1.377,0.521,2.256
-1.374,0.872,2.247
-1.387,0.677,2.248
-1.385,0.639,2.248
-1.396,0.474,2.246
-1.377,0.972,2.247
-1.376,1.024,2.24
-1.396,0.53,2.246
-1.397,-0.505,2.252
-1.397,-0.438,2.252
-1.387,0.931,2.248
-1.396,0.725,2.246
-1.397,-0.165,2.251
-1.397,-0.323,2.251
-1.397,-0.601,2.251
-1.373,-0.178,2.245
-1.378,0.571,2.245
-1.376,-0.327,2.246
-1.376,-0.474,2.243
-1.375,-0.526,2.245
-1.377,-0.375,2.245
-1.379,-0.221,2.245
-1.377,-0.126,2.244
-1.377,-0.626,2.246
-1.38,0.428,2.245
-1.372,-0.425,2.247
-1.38,-0.281,2.243
-1.388,1.059,2.233
-1.37,-0.086,2.237
-1.374,-0.676,2.237
-1.369,-0.569,2.244
-1.391,-0.712,2.143
-1.387,-0.709,2.042
-1.382,-0.703,1.771
-1.376,-0.705,2.079
-1.374,-0.705,1.948
-1.373,-0.705,2.173
-1.371,0.913,2.255
-1.369,0.473,2.253
-1.369,-0.701,1.981
-1.369,0.985,2.251
-1.368,0.675,2.251
-1.368,0.401,2.251
-1.367,-0.245,2.252
-1.366,0.828,2.247
-1.366,0.79,2.248
-1.366,-0.261,2.251
-1.361,-0.682,1.706
-1.327,-0.67,2.231
-1.333,0.833,2.255
-1.32,0.678,2.252
-1.326,0.529,2.255
-1.316,0.628,2.253
-1.332,0.965,2.253
-1.314,0.773,2.254
-1.31,0.933,2.254
-1.316,0.723,2.252
-1.308,0.87,2.253
-1.321,0.475,2.252
-1.329,-0.416,2.253
-1.326,0.991,2.242
-1.309,0.434,2.253
-1.328,0.572,2.247
-1.328,0.878,2.246
-1.314,-0.191,2.253
-1.329,0.79,2.248
-1.328,0.426,2.248
-1.329,0.72,2.248
-1.329,-0.211,2.251
-1.329,-0.394,2.252
-1.326,-0.125,2.247
-1.326,-0.171,2.247
-1.327,0.451,2.247
-1.326,-0.328,2.247
-1.327,0.806,2.245
-1.326,0.918,2.243
-1.326,-0.625,2.248
-1.326,-0.231,2.247
-1.321,0.389,2.237
-1.319,-0.088,2.236
-1.325,-0.524,2.246
-1.324,-0.474,2.245
-1.325,-0.574,2.247
-1.323,-0.37,2.243
-1.325,-0.441,2.246
-1.324,-0.274,2.244
-1.315,1.008,2.226
-1.302,0.57,2.254
